idxs,title,date,typ,origin,section,subject_theme,health_issue,covid,doc_cited,direct_mention,precise_mention,imprecise_mention,generic_mention,hard_soft
46662,"RESOLUÇÃO  nº 2.183, de 21 de junho de 2018",2018-09-21,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Normas específicas do Conselho Federal de Medicina para_x000D_
médicos que atendem o trabalhador.",Other (specify),FALSE,WHA A60/26 Workers’ health: global plan of action,Direct,No,Yes,No,Soft norm
46891,"PORTARIA Nº 2.490, DE 14 DE AGOSTO DE 2018",2018-09-21,Portaria,Ministério da Saúde,S01,Habilitação de Hospital Amigo da Criança,Other (specify),FALSE,"Baby-friendly Hospital Initiative for small,
sick and preterm newborns",Direct,Yes,N/C,No,Soft norm
48690,"PORTARIA Nº 2.664, DE 27 SETEMBRO DE 2018",2018-09-28,Portaria,Ministério da Saúde,S01,Habilitação de Hospital Amigo da Criança,Other (specify),FALSE,"Baby-friendly Hospital Initiative for small,
sick and preterm newborns",Direct,Yes,N/C,No,Soft norm
49420,"RESOLUÇÃO Nº 700, DE 28 DE SETEMBRO DE 2018",2018-10-02,Resolução,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",S01,"REGULAMENTO SOBRE A AVALIAÇÃO DA EXPOSIÇÃO HUMANA A CAMPOS ELÉTRICOS, MAGNÉTICOS E ELETROMAGNÉTICOS ASSOCIADOS À OPERAÇÃO DE ESTAÇÕES TRANSMISSORAS D RADIOCOMUNICAÇÃO",Other (specify),FALSE,WHA A60/26 Workers’ health: global plan of action,Direct,No,Yes,No,Hard norm
49531,"DECRETO Nº 9.516, DE 1º DE OUTUBRO DE 2018",2018-10-02,Decreto numerado,Atos do Poder Executivo,S01,"PROTOCOLO PARA ELIMINAR O COMÉRCIO ILÍCITO_x000D_
DE PRODUTOS DE TABACO",Tobacco,FALSE,The WHO Framework Convention on Tobacco Control (WHO FCTC),Direct,Yes,No,No,Hard norm
49531,"DECRETO Nº 9.516, DE 1º DE OUTUBRO DE 2018",2018-10-02,Decreto numerado,Atos do Poder Executivo,S01,"PROTOCOLO PARA ELIMINAR O COMÉRCIO ILÍCITO_x000D_
DE PRODUTOS DE TABACO",Tobacco,FALSE,The WHO Framework Convention on Tobacco Control (WHO FCTC),Direct,No,Yes,No,Hard norm
49531,"DECRETO Nº 9.516, DE 1º DE OUTUBRO DE 2018",2018-10-02,Decreto numerado,Atos do Poder Executivo,S01,"PROTOCOLO PARA ELIMINAR O COMÉRCIO ILÍCITO_x000D_
DE PRODUTOS DE TABACO",Tobacco,FALSE,CONSTITUTION OF THE WORLD HEALTH ORGANIZATION,Direct,Yes,No,No,Hard norm
55413,"RESOLUÇÃO Nº 661,  DE 25 DE OUTUBRO DE 2018",2018-10-31,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulação de suplementos alimentares,Other (specify),FALSE,Alma Ata Primary Healthcare Conference,Direct,Yes,Yes,No,Soft norm
56839,"RESOLUÇÃO Nº 573, DE 31 DE JANEIRO DE 2018",2018-11-06,Resolução,Ministério da Saúde,S01,"Recomendações do Conselho Nacional de Saúde à proposta de Diretrizes_x000D_
Curriculares Nacionais (DCN) do curso de graduação Bacharelado em Enfermagem.",Other (specify),FALSE,Alma Ata Primary Healthcare Conference,Indirect,Yes,Yes,No,Soft norm
59094,"PROVIMENTO Nº 186, de 13 de novembro de 2018",2018-11-16,Provimento,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Desenvolvimento de ações e atividades voltadas para a promoção e prevenção da saúde da Advocacia.,Mental and behavioral disorders,FALSE,WHA A60/26 Workers’ health: global plan of action,Direct,No,Yes,No,Soft norm
60150,"RESOLUÇÃO Nº 491, DE 19 DE NOVEMBRO DE 2018",2018-11-21,Resolução,Ministério do Meio Ambiente,S01,s Padrões Nacionais de Qualidade do Ar,"Environmental crisis (global warming, pollution…)",FALSE,"Air quality guidelines: global update 2005: particulate matter, ozone, nitrogen dioxide and sulfur dioxide",Direct,No,Yes,No,Soft norm
60150,"RESOLUÇÃO Nº 491, DE 19 DE NOVEMBRO DE 2018",2018-11-21,Resolução,Ministério do Meio Ambiente,S01,s Padrões Nacionais de Qualidade do Ar,"Environmental crisis (global warming, pollution…)",FALSE,"Air quality guidelines: global update 2005: particulate matter, ozone, nitrogen dioxide and sulfur dioxide",Direct,No,Yes,No,Soft norm
60426,"CIRCULAR Nº  54,  DE  21 DE  NOVEMBRO  DE  2018",2018-11-22,Circular,"Ministério da Indústria, Comércio Exterior e Serviços",S01,"Propostas de modificação da Tarifa_x000D_
Externa Comum",Other (specify),FALSE,Joint FAO/WHO Expert Committee on Food Additives (JECFA),Direct,No,Yes,No,Soft norm
60549,"RESOLUÇÃO Nº 41, DE 31 DE OUTUBRO DE 2018",2018-11-23,Resolução,Ministério da Saúde,S01,Cuidados paliativos no SUS,Other (specify),FALSE,,,,N/C,No,
22950,"RESOLUÇÃO  Nº 1, DE 5 DE JUNHO DE 2020",2020-06-19,Resolução,Ministério da Infraestrutura,S01,Diretrizes para combate ao COVID nas operações de tráfego aéreo,COVID-19,True,Declaration of Pandemic Status,Direct,Yes,No,No,Soft norm
23081,"PORTARIA Nº  37,  DE  17  DE  JUNHO  DE  2020",2020-06-19,Portaria,Ministério da Economia,S01,Importações de produtos laminados à frio pela Malásia,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
23153,"PORTARIA Nº 1.565, DE 18 DE JUNHO DE 2020",2020-06-19,Portaria,Ministério da Saúde,S01,"Medidas para enfrentamento da emergência_x000D_
de saúde pública de importância internacional decorrente do coronavírus (COVID-19)",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
23302,"RESOLUÇÃO  Nº 576, de 19 de junho de 2020",2020-06-22,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Atendimento ambulatorial e COVID,COVID-19,True,WHO's Infection prevention & control department,Direct,No,Yes,No,Soft norm
23303,"RESOLUÇÃO  Nº 577, de 19 de junho de 2020",2020-06-22,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Atendimento atendimento em domicílio ou residência de longa duração e COVID,COVID-19,True,WHO's Infection prevention & control department,Direct,No,Yes,No,Soft norm
23610,"PORTARIA Nº 419, DE 22 DE JUNHO DE 2020",2020-06-23,Portaria,Ministério da Cidadania,S01,Preservação das entidades de assistência social do SUS frente a pandemia do coronavírus,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
23883,"PORTARIA Nº 17, de 22 de junho de 2020",2020-06-25,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogação de portaria do Conselho de Medicina do Ceará,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,No,Yes,No,Soft norm
23883,"PORTARIA Nº 17, de 22 de junho de 2020",2020-06-25,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogação de portaria do Conselho de Medicina do Ceará,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
23906,"RESOLUÇÃO Nº  64, DE 23 DE JUNHO DE 2020",2020-06-25,Resolução,Ministério da Economia,S01,Antidumping de cerâmicas provenientes da China,,True,Declaration of Pandemic Status,Direct,No,Yes,No,
24110,"RESOLUÇÃO  Nº 365, de 3 de junho de 2020",2020-06-26,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulação telemedicina,COVID-19,True,WHO's Infection prevention & control department,Direct,No,Yes,No,Soft norm
24286,"RESOLUÇÃO  Nº 642, de 25 de junho de 2020",2020-06-29,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Eleições conselhos regionais de enfermagem,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
24384,"PORTARIA Nº 397, DE 26 DE JUNHO DE 2020",2020-06-29,Portaria,Ministério da Educação,S01,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO E PRORROGAÇÃO DE PRAZOS,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24385,"PORTARIA Nº 398, DE 26 DE JUNHO DE 2020",2020-06-29,Portaria,Ministério da Educação,S01,O PRESIDENTE DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO E PRORROGAÇÃO DE PRAZOS,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24507,"PORTARIA Nº 28, DE 26 DE JUNHO DE 2020",2020-06-29,Portaria,Ministério da Justiça e Segurança Pública,S01,Suspensão de visitas no sistema prisional,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
24625,ATA DA 462ª REUNIÃO ORDINÁRIA REALIZADA EM 15 DE MAIO DE 2020,2020-06-30,Ata,Ministério da Justiça e Segurança Pública,S01,"Reunião sobre ambiência_x000D_
dos estabelecimentos de saúde e arquitetura penal.",COVID-19,True,,Direct,No,Yes,No,Soft norm
24638,"ACÓRDÃO Nº 398, DE 8 DE JUNHO DE 2020",2020-06-30,Acórdão,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Autorização dos conselhos de fisioterapia a receberem eletronicamente as inscrições dos profissionais,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
24748,"PORTARIA Nº 752, DE 29 DE JUNHO DE 2020",2020-06-30,Portaria,Ministério do Meio Ambiente,S01,"Visitação pública no_x000D_
Parque Nacional dos Lençóis Maranhenses",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
24778,"PORTARIA Nº 413, DE 15 DE JUNHO DE 2020",2020-06-15,Portaria,Ministério da Cidadania,S01,Auxílio emergencial,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24792,"PORTARIA Nº 428, DE 25 DE JUNHO DE 2020",2020-06-25,Portaria,Ministério da Cidadania,S01,"Organização do pagamento das novas_x000D_
parcelas do auxílio emergencial",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24809,"PORTARIA Nº 340, DE 30 DE JUNHO DE 2020",2020-06-30,Portaria,Presidência da República,S01,Restrição de entrada de estrangeiros,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24815,"PORTARIA Nº 319, DE 20 DE JUNHO DE 2020",2020-06-20,Portaria,Presidência da República,S01,Restrição de entrada de estrangeiros,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24821,"RESOLUÇÃO  Nº 100, DE 28 DE MARÇO DE 2020",2020-07-01,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação de vencimento de_x000D_
pagamentos com descontos das Pessoas Físicas e_x000D_
Jurídicas do Conselho Regional de Educação Física",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
24822,"PORTARIA Nº 752, DE 29 DE JUNHO DE 2020",2020-07-01,Portaria,Ministério do Meio Ambiente,S01,Visitação pública nos Lençóis Maranhenses.,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
24827,"RESOLUÇÃO Nº 687, DE 26 DE JUNHO DE 2020",2020-07-01,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Homologa as Resoluções do Conselho Federal de_x000D_
Farmácia",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
